Image,BlurType,SNR,Method,PSNR_raw,SSIM_raw,PSNR_enh,SSIM_enh
blurred_lena_av9.bmp,average,0.1,direct,21.8114623353938,0.674283570157114,19.9355678743923,0.622289165996545
blurred_lena_av9.bmp,average,0.1,sequential,21.9510689157156,0.686415513104391,19.9790860296497,0.637142304527688
blurred_lena_av9.bmp,average,0.01,direct,17.515871043977,0.704419561550178,20.3992420135365,0.664106474089493
blurred_lena_av9.bmp,average,0.01,sequential,15.4841789122833,0.592272166881837,20.2203049218464,0.648042701214839
blurred_lena_av9.bmp,average,0.001,direct,14.5636435472865,0.621888355080066,20.1782978988511,0.632332640979702
blurred_lena_av9.bmp,average,0.001,sequential,14.3184198463824,0.504394456746141,17.967592333883,0.366076971674422
blurred_lena_av9.bmp,average,0.0001,direct,14.6673113190293,0.53276461077482,18.5670809767641,0.418947879477458
blurred_lena_av9.bmp,average,0.0001,sequential,13.8343631293777,0.414922146676904,14.733262337886,0.144493442787854
blurred_lena_av19.bmp,average,0.1,direct,19.4996398324449,0.566944782653847,19.0227442087652,0.528695603549915
blurred_lena_av19.bmp,average,0.1,sequential,19.9804668395455,0.584418447324441,19.1831054309487,0.543197399702392
blurred_lena_av19.bmp,average,0.01,direct,20.9500772942591,0.63229668113999,19.7609801924959,0.580522509928864
blurred_lena_av19.bmp,average,0.01,sequential,15.1788483338168,0.547684070135266,19.3515521376236,0.59423347703185
blurred_lena_av19.bmp,average,0.001,direct,13.3249324456027,0.596547366823461,20.0078731456219,0.611835175880576
blurred_lena_av19.bmp,average,0.001,sequential,13.6859436733442,0.473719393462615,18.0735542612178,0.309033006206055
blurred_lena_av19.bmp,average,0.0001,direct,13.9807078564648,0.522785138846293,18.9699241259462,0.495103421239292
blurred_lena_av19.bmp,average,0.0001,sequential,13.3999054874049,0.45157671925972,14.761939924195,0.14351946816035
blurred_lena_m33_29.bmp,motion,0.1,direct,19.8484002517293,0.634291659644545,18.5287961815578,0.590772888301079
blurred_lena_m33_29.bmp,motion,0.1,theta+1,20.0015387553623,0.634164992563789,18.5458663218614,0.589854472546293
blurred_lena_m33_29.bmp,motion,0.1,theta-1,19.8581370693477,0.63248686722503,18.55875270775,0.589752080963911
blurred_lena_m33_29.bmp,motion,0.01,direct,19.1561576666808,0.686703353620667,19.066672508102,0.666212733151808
blurred_lena_m33_29.bmp,motion,0.01,theta+1,21.1568558981812,0.70486932103765,19.3132315450262,0.658996495537554
blurred_lena_m33_29.bmp,motion,0.01,theta-1,20.4571869246295,0.690812706890355,19.1338791946663,0.661020401293098
